idnoremp;Seccion18;Division;periodo;intio;pottcag;gppgpa;ocgtot;CONINTER;OTROSG;PEROCU;PEREMU;PMISION;SULPERM;SULSAL;SULTEMP;SULMISION;SULAPRENDIZ;PRESPERM;PRESTEMP;PRESMISION;PRESTA;REMU;PROBRU;VALAGRE;TOTG;idaio;imesetot;inoio;insertot;potpsfr;pompsfr;pohpsfr;potperm;pomperm;pohperm;pottcde;pomtcde;pohtcde;pottmoe;pomtmoe;pohtmoe;pomtcag;pohtcag;potpau;pompau;pohpau;pomtot;pohtot;pottot;pompsfr1;pohpsfr2;pompsfr3;pohpsfr4;pompsfr5;pohpsfr6;pomperm1;pohperm2;pomperm3;pohperm4;pomperm5;pohperm6;pomtcde1;pohtcde2;pomtcde3;pohtcde4;pomtcde5;pohtcde6;pomtcag1;pohtcag2;pomtcag3;pohtcag4;pomtcag5;pohtcag6;pomtdhc;pohtdhc;pomtmad;pohtmad;pompau1;pohpau2;pomtot1;pohtot2;pomtot3;pohtot4;pomtot5;pohtot6;ththca;thtmas;gppsi;gpper;gpppsp;gpppst;gsppt;gppcpo;gppano;gppavo;gpppta;gppgpn;gpptpot;ocgrps;gmesetot;gsptot;ocgrc;ocgid;occree;ocgoi;ocgpc;ocgog;ocgtg;ocgamc;ocgtgno;gouts;ocgsv;ocgee;ocgar;ocgca;ocgse;ocgsp;ocgco;ocgfa;ocgpp;ocgnr;ocggv;ocgct;ocggr;ocgup;ocgcl;ocgusi;ocgspe;ocgsgn;gppsied1;gppsied2;gppsied3;gppered1;gppered2;gppered3;gpppsp1;gpppsp2;gpppsp3;gpppsted1;gpppsted2;gpppsted3;gppcpoed1;gppcpoed2;gppcpoed3;gppanoed1;gppanoed2;gppanoed3;gppavoed1;gppavoed2;gppavoed3;gppdocen;gppgpaed1;gppmoni;gppgpned1;gppgpned2;gppgpned3;gpptpoted1;gpptpoted2;gpptpoted3;opcomex
13461;Q;86;2018;7412977;0;41477;4394951;2800305;73535;82;82;0;363749;1766380;1361154;0;41477;85560;330884;0;733253;2499633;5935942;3135637;2573168;1990;2505347;0;4907630;0;0;0;9;8;1;69;55;14;0;0;0;0;0;4;1;3;64;18;82;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;363749;85560;0;0;244271;72538;0;0;73535;2573168;699944;1477035;229206;2120;51329;0;927;46476;0;201985;0;0;0;261617;43993;128071;15566;638832;33238;32438;6369;55921;196704;0;395;2196;47381;3445;28876;168613;22274;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;4
13462;Q;86;2018;5295688;0;14911;3152389;3063009;78310;117;54;0;862699;877610;0;0;14911;200431;0;0;348812;1226422;5295688;2232679;1304732;1991;0;88900;5206788;63;16;47;52;40;12;0;0;0;0;0;0;0;0;2;2;0;58;59;117;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;862699;200431;0;0;108142;35232;5007;0;78310;1304732;1255151;0;474690;437;5427;0;70491;0;0;1004393;0;0;0;30754;12627;0;5835;18836;0;4925;27712;16218;160462;0;0;0;41161;0;23270;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;4
13463;Q;86;2018;8578424;0;18750;6787280;6707761;116235;64;63;0;972023;990773;0;0;18750;241568;0;0;434081;1424854;8578424;1870663;1541089;1994;0;29318;8549106;1;0;1;60;44;16;0;0;0;0;0;0;0;0;3;2;1;46;18;64;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;972023;241568;0;0;152221;40292;0;0;116235;1541089;2966378;0;2781529;504;12994;0;56835;0;0;58018;0;0;0;0;360753;0;23832;21839;42924;15021;13049;0;253152;14;0;0;47269;2479;16920;102890;10880;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;4
13464;Q;86;2018;72550778;0;250909;39435598;38406392;677109;749;749;0;15184097;15435006;0;0;250909;3721714;0;0;6804369;22239375;72550778;34144386;22916484;1993;0;294349;72256429;0;0;0;716;510;206;0;0;0;0;0;0;0;0;33;26;7;536;213;749;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;15184097;3721714;0;0;2411527;671128;0;0;677109;22916484;30282233;0;929863;0;2566;0;388290;565680;0;1997250;0;0;0;1701554;173661;59692;45541;200934;166918;107518;101750;75293;765254;66403;0;564;370076;16417;306520;864751;246870;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;4
13465;Q;86;2018;91004865;0;197797;66426557;58891104;935774;546;546;0;11610468;11808265;0;0;197797;3267949;0;0;6095772;17904037;91004865;32113761;18839811;1993;0;458719;90546146;0;0;0;521;348;173;0;0;0;0;0;0;0;0;25;19;6;367;179;546;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1831232;10328606;2718579;0;0;2227922;599901;0;0;935774;18839811;50360870;0;1353773;0;40175;0;251512;7171277;0;869472;0;0;0;432521;58426;578667;17263;224040;72117;191449;48470;82457;3061389;397317;109761;34615;397434;15756;78282;579493;21;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;4
13466;Q;86;2018;94762259;31;221938;88448956;78131377;1655749;514;514;0;14853623;15758872;683311;0;221938;3918267;151193;0;7238844;22997716;94762259;16630882;24653465;1994;0;0;94762259;0;0;0;460;336;124;27;15;12;0;0;0;21;10;27;20;7;392;153;545;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1294138;13947726;3530026;0;0;2448086;721298;0;735060;1655749;24653465;71930327;0;3698374;8538;15447;0;216722;10068920;0;351058;0;0;126519;131084;176473;108270;1524;24216;13369;20457;31529;38495;221406;55771;355;4594;79251;1257;172291;217649;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;4
13467;Q;86;2018;1887433;0;22682;2246917;2206215;21930;31;31;0;418313;440995;0;0;22682;103520;0;0;224336;665331;1887433;-318782;687261;1998;0;0;1887433;0;0;0;27;14;13;0;0;0;0;0;0;0;0;4;3;1;17;14;31;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;418313;103520;0;0;83423;38082;0;0;21930;687950;1681280;0;126659;668;2446;0;34240;0;0;13208;0;0;0;0;72130;0;0;25022;9924;29411;2051;0;44795;0;0;844;5001;1000;0;198042;196;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;4
13468;Q;86;2018;644602;0;4692;349503;338243;79434;11;11;0;98400;103092;0;0;4692;33175;0;0;47877;150969;644602;306359;230403;1995;0;0;644602;0;0;0;10;10;0;0;0;0;0;0;0;0;0;1;1;0;11;0;11;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;98400;33175;0;0;11243;3459;0;0;79434;230403;285077;0;25790;0;1352;0;9631;0;0;3727;0;0;0;0;1731;0;0;0;7845;4668;267;0;1975;365;0;0;2163;0;3200;1712;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;4
13469;Q;86;2018;4510559;0;22226;3196265;3088162;475676;43;43;0;629968;652194;0;0;22226;149782;0;0;289657;941851;4510559;1422397;1417527;1995;0;0;4510559;0;0;0;40;32;8;0;0;0;0;0;0;0;0;3;2;1;34;9;43;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;629968;149782;0;0;112741;27134;0;0;475676;1417527;1338738;0;398662;21040;9596;0;82388;2687;0;235341;0;0;0;265180;0;0;12094;35094;8202;21878;1318;60219;491603;767;0;282;33721;1952;24342;150376;785;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2
13470;Q;86;2018;18992608;12;7137;16973433;15742242;47365;40;40;0;934834;941971;0;0;7137;284280;0;0;483821;1425792;18992608;3250366;1473157;1996;0;0;18992608;0;0;0;39;25;14;0;0;0;0;0;0;8;4;1;1;0;34;18;52;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;314973;714353;189788;0;0;149612;49929;0;428175;47365;1473157;14369110;0;141282;3723;20;0;166717;1056374;0;58506;0;0;0;136341;49105;243653;576;12930;11923;32679;81080;0;58163;2773;42263;200;29753;40;20790;27047;210;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;4
